scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Rubia membranacea,½ğÏß²İ,6,8,8,10,Rubia,Rubiaceae,CB
Rubia oncotricha,¹³Ã«Üç²İ,7,7,9,11,NA,Rubiaceae,CB
Rubia podantha,±ú»¨Üç²İ,4,6,6,9,Rubia,Rubiaceae,CB
Rubia tibetica,Î÷²ØÜç²İ,6,6,8,8,Rubia,Rubiaceae,CB
Rubia wallichiana,¶à»¨Üç²İ,8,10,8,12,NA,Rubiaceae,CB
Rubiteucris palmata,ÕÆÒ¶Ê¯²Ï,7,8,NA,NA,Rubiteucris,Lamiaceae,CB
Rubus alexeterius,´ÌİàĞü¹³×Ó,4,5,6,7,Rubus,Rosaceae,WD
Rubus alexeterius var. acaenocalyx,ÏÙÃ«´ÌİàĞü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus assamensis,Î÷ÄÏĞü¹³×Ó,6,7,8,9,Rubus,Rosaceae,WD
Rubus aurantiacus,½ÛºìĞü¹³×Ó,5,6,7,8,Rubus,Rosaceae,WD
Rubus austrotibetanus,²ØÄÏĞü¹³×Ó,6,7,8,9,NA,Rosaceae,WD
Rubus biflorus,·ÛÖ¦Ã·,5,6,7,8,Rubus,Rosaceae,WD
Rubus biflorus var. adenophorus,ÏÙÃ«·ÛÖ¦İ®,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus calycinus,³İİàĞü¹³×Ó,5,6,7,8,Rubus,Rosaceae,CB
Rubus cockburnianus,»ªÖĞĞü¹³×Ó,5,7,8,9,Rubus,Rosaceae,WD
Rubus ellipticus,ÍÖÔ²Ğü¹³×Ó,3,5,5,7,Rubus,Rosaceae,WD
Rubus ellipticus var. obcordatus,ÔÔÑíÅİ,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus erythrocarpus,ºì¹ûĞü¹³×Ó,7,8,9,10,NA,Rosaceae,WD
Rubus flosculosus,¹­¾¥Ğü¹³×Ó,6,7,8,9,NA,Rosaceae,WD
Rubus fockeanus,Á¹É½Ğü¹³×Ó,5,6,7,8,Rubus,Rosaceae,CB
Rubus fragarioides,İ®Ò¶Ğü¹³×Ó,5,7,7,9,Rubus,Rosaceae,CB
Rubus fragarioides var. adenophorus,ÏÙÃ«İ®Ò¶Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,CB
Rubus fragarioides var. pubescens,ÈáÃ«İ®Ò¶Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,CB
Rubus gyamdaensis,ÈáÃ«Ğü¹³×Ó,7,8,NA,NA,NA,Rosaceae,WD
Rubus hypopitys,µá²ØĞü¹³×Ó,6,7,8,9,NA,Rosaceae,WD
Rubus hypopitys var. hanmiensis,ººÃÜĞü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus idaeopsis,Äâ¸²Åè×Ó,5,6,7,8,Rubus,Rosaceae,WD
Rubus innominatus,°×Ò¶İ®,5,6,7,8,Rubus,Rosaceae,WD
Rubus irritans,×ÏÉ«Ğü¹³×Ó,6,7,8,9,Rubus,Rosaceae,WD
Rubus lineatus,¾îÃ«Ğü¹³×Ó,7,8,9,10,Rubus,Rosaceae,WD
Rubus lutescens,»ÆÉ«Ğü¹³×Ó,5,6,7,8,Rubus,Rosaceae,WD
Rubus macilentus,Ï¸ÊİĞü¹³×Ó,4,5,7,8,NA,Rosaceae,WD
Rubus mesogaeus,Ï²ÒõĞü¹³×Ó,4,5,7,8,Rubus,Rosaceae,WD
Rubus metoensis,Ä«ÍÑĞü¹³×Ó,7,8,NA,NA,Rubus,Rosaceae,WD
Rubus niveus,ºìÅİ´ÌÌÙ,5,7,7,9,NA,Rosaceae,WD
Rubus nyalamensis,ÄôÀ­Ä¾Ğü¹³×Ó,5,6,7,8,Rubus,Rosaceae,CB
Rubus paniculatus,Ô²×¶Ğü¹³×Ó,6,8,9,10,NA,Rosaceae,WD
Rubus paniculatus var. glabrescens,ÍÑÃ«Ô²×¶Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus parvifolius,Ã©İ®,5,6,7,8,NA,Rosaceae,WD
Rubus pectinarioides,ÙéÙëĞü¹³×Ó,7,8,9,10,Rubus,Rosaceae,WD
Rubus pedunculosus,ÃÜÃ«ÏËÏ¸Ğü¹³×Ó,5,7,7,9,Rubus,Rosaceae,WD
Rubus pentagonus,ÕÆÒ¶Ğü¹³×Ó,5,5,7,8,Rubus,Rosaceae,WD
Rubus pentagonus var. eglandulosus,ÎŞÏÙÕÆÒ¶Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus pungens,Õë´ÌĞü¹³×Ó,4,5,7,8,Rubus,Rosaceae,WD
Rubus pungens var. ternatus,ÈıÒ¶Õë´ÌĞü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus reticulatus,ÍøÂöĞü¹³×Ó,7,8,9,10,Rubus,Rosaceae,WD
Rubus sikkimensis,Îı½ğĞü¹³×Ó,6,8,8,9,NA,Rosaceae,WD
Rubus stans,Ö±Á¢Ğü¹³×Ó,5,6,7,8,NA,Rosaceae,WD
Rubus stans var. soulieanus,¶à´ÌÖ±Á¢Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus stimulans,»ªÎ÷Ğü¹³×Ó,6,7,8,9,Rubus,Rosaceae,WD
Rubus subinopertus,×ÏºìĞü¹³×Ó,6,7,8,9,Rubus,Rosaceae,WD
Rubus subornatus,ÃÀÊÎĞü¹³×Ó,5,6,8,9,NA,Rosaceae,WD
Rubus sumatranus,ºìÏÙĞü¹³×Ó,4,6,7,8,Rubus,Rosaceae,WD
Rubus taitoensis var. aculeatiflorus,´Ì»¨Ğü¹³×Ó,NA,NA,NA,NA,NA,Rosaceae,WD
Rubus trijugus,Èı¶ÔÒ¶Ğü¹³×Ó,5,6,7,8,Rubus,Rosaceae,WD
Rubus wardii,´ó»¨Ğü¹³×Ó,6,7,8,9,Rubus,Rosaceae,WD
Rumex angulatus,×Ï¾¥ËáÄ£,6,7,7,8,Rumex,Polygonaceae,CB
Rumex hastatus,êªÒ¶ËáÄ£,4,5,5,6,Rumex,Polygonaceae,WD
Rumex patientia,°ÍÌìËáÄ£,5,6,6,7,Rumex,Polygonaceae,CB
Sabia campanulata,ÖÓ»¨Çå·çÌÙ,5,6,7,7,Sabia,Sabiaceae,WD
Sabia dielsii,Æ½·¥Çå·çÌÙ,4,6,7,10,Sabia,Sabiaceae,WD
Sabia parviflora,Ğ¡»¨Çå·çÌÙ,3,5,7,9,Sabia,Sabiaceae,WD
Sabia purpurea subsp. dumicola,¹à´ÔÇå·çÌÙ,5,5,7,8,NA,Sabiaceae,WD
Sabia yunnanensis,ÔÆÄÏÇå·çÌÙ,4,5,5,5,Sabia,Sabiaceae,WD
Saccharum arundinaceum,°ßÃ©,8,12,8,12,Saccharum,Poaceae,CB
Saccharum longesetosum,³¤³İÕáÃ©,8,10,8,10,NA,Poaceae,CB
Saccharum procerum,ÏÁÒ¶°ßÃ©,NA,NA,NA,NA,NA,Poaceae,CB
Saccharum rufipilum,ÕáÃ©,6,10,6,10,Saccharum,Poaceae,CB
Saccharum spontaneum,Ìğ¸ù×Ó²İ,7,8,7,8,Saccharum,Poaceae,CB
Sacciolepis indica,ÄÒÓ±²İ,7,11,7,11,Sacciolepis,Poaceae,CB
Sacciolepis myosuroides,ÊóÎ²ÄÒÓ±²İ,2,10,2,10,Sacciolepis,Poaceae,CB
Sageretia gracilis,ÏËÏ¸È¸Ã·ÌÙ,7,9,2,5,Sageretia,Rhamnaceae,WD
Sageretia hamosa,¹³´ÌÈ¸Ã·ÌÙ,7,8,8,10,Sageretia,Rhamnaceae,WD
Sageretia horrida,°¼Ò¶È¸Ã·ÌÙ,6,9,´ÎÄê4,´ÎÄê6,Sageretia,Rhamnaceae,WD
Sageretia paucicostata,ÉÙÂöÃ·ÌÙ,5,9,7,10,Sageretia,Rhamnaceae,WD
Sageretia pycnophylla,¶Ô½Ú´Ì,7,10,5,6,Sageretia,Rhamnaceae,WD
Sageretia subcaudata,Î²Ò¶È¸Ã·ÌÙ,7,11,4,5,NA,Rhamnaceae,WD
Sageretia thea,È¸Ã·ÌÙ,7,9,3,5,NA,Rhamnaceae,WD
Sageretia yunlongensis,ÔÆÁúÈ¸Ã·ÌÙ,NA,NA,NA,NA,NA,Rhamnaceae,WD
Sagina procumbens,ÑöÎÔÆá¹Ã²İ,7,8,9,10,Sagina,Caryophyllaceae,CB
Sagina saginoides,ÎŞÃ«Æá¹Ã²İ,5,7,7,8,Sagina,Caryophyllaceae,CB
Sagittaria tengtsungensis,ÌÚ³å´È¹Ã,6,9,6,9,NA,Alismataceae,CB
Salix annulifera,»·ÎÆ°«Áø,7,7,8,8,Salix,Salicaceae,WD
Salix annulifera var. macriula,³×Ò¶°«Áø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix anticecrenata,Ô²³İµæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix argyrophegga,Òø¹âÁø,4,5,6,8,Salix,Salicaceae,WD
Salix argyrotrichocarpa,ÒøÃ«¹ûÁø,7,7,NA,NA,Salix,Salicaceae,WD
Salix atopantha,Ææ»¨Áø,6.5,6.15,7,7,Salix,Salicaceae,WD
Salix austrotibetica,²ØÄÏÁø,8,8,NA,NA,NA,Salicaceae,WD
Salix babylonica,´¹Áø,3,4,4,5,NA,Salicaceae,WD
Salix balfouriana,°×±³Áø,4,5,6,7,NA,Salicaceae,WD
Salix bangongensis,°à¹«Áø,NA,NA,7.15,7.25,NA,Salicaceae,WD
Salix bhutanensis,²»µ¤Áø,5,6,NA,NA,NA,Salicaceae,WD
Salix bistyla,Ë«ÖùÁø,6.25,7,8,9,Salix,Salicaceae,WD
Salix brachista,Ğ¡µæÁø,5.25,6.5,6.25,7.5,Salix,Salicaceae,WD
Salix brachista var. pilifera,Ã«¹ûĞ¡µæÁø,6,7,6,7,NA,Salicaceae,WD
Salix calyculata,³¤±úµæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix calyculata var. gongshanica,¹±É½³¤±úµæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix cavaleriei,µá´óÒ¶Áø,3,4,4,5,Salix,Salicaceae,WD
Salix cheilophila,ÎÚÁø,4,5,6,6,Salix,Salicaceae,WD
Salix cheilophila var. microstachyoides,´óºìÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix clathrata,Õ¤Ö¦µæÁø,7,7,8,9,Salix,Salicaceae,WD
Salix coggygria,Å­½­°«Áø,6,6,7,7,Salix,Salicaceae,WD
Salix crenata,¾â³İÒ¶µæÁø,7,7,8,9,Salix,Salicaceae,WD
Salix daliensis,´óÀíÁø,4,4,6,6,Salix,Salicaceae,WD
Salix daltoniana,ºÖ±³Áø,5.25,6.5,7,7,Salix,Salicaceae,WD
Salix dalungensis,½ÚÖ¦Áø,6,6,NA,NA,Salix,Salicaceae,WD
Salix delavayana,¸¹Ã«Áø,4.25,5,6.15,6.25,Salix,Salicaceae,WD
Salix delavayana var. pilososuturalis,Ã«·ì¸¹Ã«Áø,5,5,6,6,NA,Salicaceae,WD
Salix denticulata,³İÒ¶Áø,4,4,5,5,Salix,Salicaceae,WD
Salix dibapha,ÒìÉ«Áø,4.15,4.25,5.15,6,NA,Salicaceae,WD
Salix dissa,ÒìĞÍÁø,5,5,6,6,Salix,Salicaceae,WD
Salix divergentistyla,²æÖùÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix driophila,ÁÖÁø,4,4,5,5,Salix,Salicaceae,WD
Salix ernestii,Òø±³Áø,5,6,7,8,Salix,Salicaceae,WD
Salix faxonianoides,²ØÙëÁø,5,5,5.25,6.15,Salix,Salicaceae,WD
Salix faxonianoides var. villosa,Ã«Öá²ØÙëÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix fengiana,¹±É½Áø,7,7,10,10,Salix,Salicaceae,WD
Salix flabellaris,ÉÈÒ¶µæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
