scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Indocalamus latifolius,À«Ò¶óèÖñ,1,8,NA,NA,NA,Poaceae,WD
Indocalamus longiauritus,óèÒ¶Öñ,5,7,NA,NA,NA,Poaceae,WD
Indocalamus longiauritus var. semifalcatus,°ë¶úóèÖñ,NA,NA,NA,NA,NA,Poaceae,WD
Indocalamus wilsonii,¶õÎ÷óèÖñ,5,8,NA,NA,NA,Poaceae,WD
Inula britannica,Å·ÑÇĞı¸²»¨,6,9,NA,NA,NA,Asteraceae,CB
Inula cappa,Ñò¶ú¾Õ,6,10,8,12,Inula,Asteraceae,WD
Inula cuspidata,Í¹¼âÑò¶ú¾Õ,NA,NA,NA,NA,NA,Asteraceae,WD
Inula forrestii,ÄâÑò¶ú¾Õ,11,11,11,11,Inula,Asteraceae,WD
Inula hupehensis,ºş±±Ğı¸²»¨,6,8,8,9,Inula,Asteraceae,CB
Inula japonica,Ğı¸²»¨,6,10,9,11,Inula,Asteraceae,CB
Inula nervosa,ÏÔÂöĞı¸²»¨,7,10,9,12,NA,Asteraceae,CB
Inula pterocaula,Òí¾¥Ñò¶ú¾Õ,7,9,9,10,Inula,Asteraceae,CB
Inula racemosa,×Ü×´ÍÁÄ¾Ïã,8,9,9,9,NA,Asteraceae,CB
Iphigenia indica,É½´È¹½,6,7,6,7,Iphigenia,Liliaceae,CB
Ipomoea biflora,Ã«Ç£Å£,NA,NA,NA,NA,NA,Convolvulaceae,CB
Ipomoea eriocarpa,Ã«¹ûÊí,NA,NA,NA,NA,NA,Convolvulaceae,CB
Ipomoea nil,Ç£Å£,NA,NA,NA,NA,NA,Convolvulaceae,CB
Ipomoea purpurea,Ô²Ò¶Ç£Å£,NA,NA,NA,NA,NA,Convolvulaceae,CB
Iris bulleyana,Î÷ÄÏğ°Î²,6,7,8,10,Iris,Iridaceae,CB
Iris chrysographes,½ğÂöğ°Î²,6,7,8,10,NA,Iridaceae,CB
Iris collettii,¸ßÔ­ğ°Î²,5,6,7,8,Iris,Iridaceae,CB
Iris confusa,±âÖñÀ¼,4,4,5,7,Iris,Iridaceae,CB
Iris cuniculiformis,´óÈñ¹ûğ°Î²,5,7,6,8,NA,Iridaceae,CB
Iris decora,Äá²´¶ûğ°Î²,6,6,7,8,Iris,Iridaceae,CB
